Month,US,NE,MW,S,W
1/1/12,1.423,1.68,1.2,1.435,1.479
2/1/12,1.442,1.662,1.259,1.44,1.507
3/1/12,1.395,1.532,1.275,1.398,1.433
4/1/12,1.426,1.589,1.313,1.441,1.4
5/1/12,1.412,1.516,1.28,1.444,1.409
6/1/12,1.403,1.563,1.323,1.352,1.419
7/1/12,1.427,1.511,1.384,1.393,1.448
8/1/12,1.407,1.38,1.389,1.402,1.471
9/1/12,1.401,1.511,1.364,1.366,1.385
10/1/12,1.422,1.49,1.347,1.442,1.408
11/1/12,1.418,1.624,1.277,1.407,1.383
12/1/12,1.436,1.574,1.288,1.427,1.483
1/1/13,1.422,1.54,1.28,1.422,1.466
2/1/13,1.411,1.494,1.295,1.391,1.495
3/1/13,1.412,1.515,1.279,1.417,1.45
4/1/13,1.409,1.466,1.3,1.436,1.411
5/1/13,1.401,1.42,1.339,1.368,1.502
6/1/13,1.439,1.437,1.347,1.438,1.534
7/1/13,1.434,1.472,1.384,1.403,1.494
8/1/13,1.408,1.435,1.338,1.384,1.49
9/1/13,1.419,1.397,1.379,1.433,1.461
10/1/13,1.358,1.357,1.323,1.345,1.41
11/1/13,1.382,1.369,1.332,1.379,1.447
12/1/13,1.385,1.396,1.332,1.357,1.474
1/1/14,1.365,1.372,1.298,1.355,1.44
2/1/14,1.388,1.399,1.325,1.384,1.442
3/1/14,1.359,1.365,1.302,1.346,1.428
4/1/14,1.388,1.37,1.335,1.401,1.433
5/1/14,1.401,1.423,1.298,1.376,1.495
6/1/14,1.4,1.447,1.304,1.399,1.437
7/1/14,1.413,1.434,1.281,1.403,1.509
8/1/14,1.396,1.438,1.288,1.363,1.491
9/1/14,1.405,1.423,1.274,1.41,1.48
10/1/14,1.414,1.388,1.316,1.373,1.562
11/1/14,1.42,1.5,1.226,1.393,1.505
12/1/14,1.466,1.566,1.28,1.435,1.523
1/1/15,1.479,1.618,1.258,1.433,1.538
2/1/15,1.435,1.472,1.284,1.449,1.524
3/1/15,1.44,1.472,1.296,1.451,1.53
4/1/15,1.454,1.55,1.313,1.435,1.539
5/1/15,1.463,1.54,1.332,1.45,1.544
6/1/15,1.467,1.592,1.305,1.415,1.596
7/1/15,1.447,1.53,1.336,1.424,1.52
8/1/15,1.42,1.559,1.304,1.381,1.478
9/1/15,1.432,1.543,1.322,1.413,1.471
10/1/15,1.418,1.466,1.32,1.42,1.47
11/1/15,1.409,1.495,1.28,1.416,1.443
12/1/15,1.428,1.54,1.322,1.421,1.444
1/1/16,1.425,1.521,1.337,1.404,1.461
2/1/16,1.407,1.507,1.324,1.397,1.418
3/1/16,1.416,1.501,1.339,1.393,1.451
4/1/16,1.406,1.421,1.352,1.368,1.495
5/1/16,1.382,1.463,1.26,1.363,1.471
6/1/16,1.333,1.365,1.234,1.311,1.46
7/1/16,1.349,1.326,1.244,1.334,1.52
8/1/16,1.341,1.381,1.226,1.311,1.49
9/1/16,1.329,1.318,1.233,1.328,1.451
10/1/16,1.343,1.4,1.22,1.332,1.454
11/1/16,1.362,1.339,1.231,1.377,1.507
12/1/16,1.362,1.332,1.263,1.382,1.467
1/1/17,1.351,1.326,1.243,1.361,1.481
2/1/17,1.358,1.32,1.257,1.377,1.478
3/1/17,1.329,1.285,1.219,1.352,1.458
