Month,US,NE,MW,S,W
1/1/12,1.334,1.593,1.429,1.187,1.496
2/1/12,1.356,1.616,1.398,1.217,1.54
3/1/12,1.372,1.611,1.477,1.22,1.555
4/1/12,1.401,1.65,1.52,1.268,1.497
5/1/12,1.347,1.545,1.429,1.236,1.469
6/1/12,1.39,1.531,1.408,1.312,1.452
7/1/12,1.454,1.692,1.52,1.324,1.522
8/1/12,1.433,1.555,1.464,1.345,1.539
9/1/12,1.455,1.565,1.54,1.36,1.536
10/1/12,1.53,1.627,1.699,1.365,1.671
11/1/12,1.512,1.526,1.655,1.366,1.746
12/1/12,1.482,1.531,1.691,1.309,1.697
1/1/13,1.497,1.564,1.721,1.306,1.721
2/1/13,1.456,1.574,1.428,1.369,1.608
3/1/13,1.471,1.677,1.427,1.329,1.711
4/1/13,1.473,1.717,1.516,1.318,1.655
5/1/13,1.466,1.698,1.486,1.353,1.449
6/1/13,1.509,1.81,1.456,1.364,1.555
7/1/13,1.484,1.689,1.471,1.332,1.602
8/1/13,1.489,1.678,1.446,1.376,1.576
9/1/13,1.528,1.681,1.543,1.413,1.608
10/1/13,1.543,1.745,1.568,1.432,1.56
11/1/13,1.518,1.65,1.474,1.463,1.554
12/1/13,1.52,1.636,1.506,1.43,1.625
1/1/14,1.529,1.705,1.487,1.434,1.61
2/1/14,1.504,1.614,1.547,1.45,1.487
3/1/14,1.544,1.702,1.528,1.426,1.679
4/1/14,1.53,1.68,1.487,1.444,1.624
5/1/14,1.556,1.658,1.548,1.45,1.704
6/1/14,1.503,1.653,1.498,1.428,1.548
7/1/14,1.495,1.631,1.452,1.418,1.593
8/1/14,1.572,1.774,1.53,1.459,1.694
9/1/14,1.543,1.724,1.471,1.445,1.683
10/1/14,1.549,1.829,1.427,1.479,1.586
11/1/14,1.533,1.851,1.532,1.445,1.501
12/1/14,1.541,1.883,1.49,1.5,1.438
1/1/15,1.546,1.847,1.495,1.443,1.62
2/1/15,1.55,1.786,1.538,1.489,1.532
3/1/15,1.545,1.812,1.479,1.469,1.583
4/1/15,1.539,1.824,1.422,1.458,1.617
5/1/15,1.483,1.821,1.377,1.39,1.553
6/1/15,1.515,1.772,1.388,1.452,1.576
7/1/15,1.487,1.66,1.383,1.436,1.564
8/1/15,1.428,1.732,1.379,1.323,1.487
9/1/15,1.415,1.809,1.33,1.323,1.43
10/1/15,1.43,1.8,1.263,1.329,1.537
11/1/15,1.484,1.784,1.309,1.374,1.645
12/1/15,1.437,1.733,1.352,1.322,1.537
1/1/16,1.429,1.736,1.334,1.315,1.527
