Month,US,NE,MW,S,W
1/1/12,0.128,0.159,0.121,0.113,0.142
2/1/12,0.128,0.158,0.12,0.113,0.142
3/1/12,0.127,0.156,0.12,0.112,0.143
4/1/12,0.127,0.155,0.12,0.112,0.143
5/1/12,0.129,0.157,0.122,0.113,0.148
6/1/12,0.135,0.162,0.13,0.12,0.147
7/1/12,0.133,0.16,0.131,0.117,0.148
8/1/12,0.133,0.159,0.131,0.117,0.148
9/1/12,0.133,0.161,0.13,0.117,0.147
10/1/12,0.128,0.155,0.122,0.111,0.151
11/1/12,0.127,0.156,0.121,0.109,0.146
12/1/12,0.127,0.155,0.12,0.11,0.146
1/1/13,0.129,0.162,0.122,0.109,0.151
2/1/13,0.129,0.16,0.123,0.109,0.152
3/1/13,0.128,0.155,0.122,0.11,0.152
4/1/13,0.128,0.158,0.121,0.111,0.149
5/1/13,0.131,0.161,0.123,0.113,0.155
6/1/13,0.137,0.164,0.132,0.121,0.155
7/1/13,0.137,0.166,0.131,0.121,0.155
8/1/13,0.137,0.162,0.131,0.121,0.155
9/1/13,0.137,0.167,0.13,0.121,0.156
10/1/13,0.132,0.159,0.122,0.115,0.157
11/1/13,0.13,0.16,0.121,0.113,0.153
12/1/13,0.131,0.163,0.121,0.113,0.154
1/1/14,0.134,0.177,0.122,0.115,0.154
2/1/14,0.134,0.169,0.122,0.116,0.154
3/1/14,0.135,0.175,0.122,0.117,0.154
4/1/14,0.131,0.163,0.123,0.117,0.14
5/1/14,0.136,0.169,0.125,0.119,0.16
6/1/14,0.143,0.171,0.138,0.126,0.163
7/1/14,0.143,0.172,0.139,0.126,0.162
8/1/14,0.143,0.17,0.139,0.126,0.161
9/1/14,0.141,0.166,0.137,0.125,0.16
10/1/14,0.136,0.164,0.129,0.119,0.159
11/1/14,0.134,0.169,0.125,0.116,0.154
12/1/14,0.135,0.168,0.128,0.118,0.153
1/1/15,0.138,0.181,0.129,0.117,0.156
2/1/15,0.138,0.184,0.129,0.117,0.155
3/1/15,0.136,0.175,0.129,0.116,0.155
4/1/15,0.137,0.176,0.129,0.116,0.156
5/1/15,0.137,0.169,0.13,0.117,0.161
6/1/15,0.143,0.178,0.14,0.123,0.161
7/1/15,0.142,0.171,0.141,0.123,0.161
8/1/15,0.142,0.169,0.141,0.123,0.161
9/1/15,0.141,0.169,0.137,0.123,0.159
10/1/15,0.136,0.164,0.129,0.117,0.159
11/1/15,0.134,0.166,0.129,0.114,0.152
12/1/15,0.133,0.165,0.13,0.114,0.151
1/1/16,0.134,0.169,0.131,0.113,0.154
2/1/16,0.134,0.168,0.13,0.113,0.155
3/1/16,0.134,0.169,0.13,0.112,0.156
4/1/16,0.134,0.169,0.13,0.111,0.156
5/1/16,0.133,0.162,0.133,0.113,0.155
6/1/16,0.138,0.166,0.14,0.119,0.156
7/1/16,0.139,0.165,0.141,0.12,0.157
8/1/16,0.139,0.164,0.142,0.12,0.158
9/1/16,0.139,0.165,0.14,0.121,0.157
10/1/16,0.134,0.161,0.132,0.115,0.158
11/1/16,0.131,0.161,0.131,0.113,0.15
12/1/16,0.133,0.167,0.131,0.113,0.15
1/1/17,0.134,0.169,0.132,0.115,0.15
2/1/17,0.135,0.172,0.132,0.116,0.15
3/1/17,0.134,0.17,0.132,0.115,0.151
4/1/17,0.135,0.169,0.133,0.116,0.153
5/1/17,0.137,0.173,0.134,0.117,0.158
6/1/17,0.142,0.175,0.144,0.123,0.157
7/1/17,0.143,0.175,0.145,0.124,0.157
8/1/17,0.142,0.173,0.145,0.124,0.157
9/1/17,0.142,0.173,0.143,0.123,0.157
10/1/17,0.137,0.168,0.132,0.119,0.158
11/1/17,0.136,0.172,0.135,0.118,0.152
12/1/17,0.136,0.175,0.131,0.118,0.153
1/1/18,0.135,0.165,0.129,0.12,0.151
2/1/18,0.135,0.165,0.131,0.121,0.152
3/1/18,0.135,0.165,0.129,0.121,0.153
4/1/18,0.134,0.162,0.129,0.12,0.153
5/1/18,0.136,0.169,0.132,0.121,0.154
6/1/18,0.139,0.167,0.14,0.125,0.155
7/1/18,0.139,0.167,0.138,0.124,0.156
8/1/18,0.139,0.167,0.139,0.125,0.156
9/1/18,0.138,0.166,0.137,0.123,0.153
10/1/18,0.136,0.165,0.131,0.122,0.155
11/1/18,0.134,0.164,0.128,0.122,0.152
12/1/18,0.135,0.165,0.128,0.123,0.152
1/1/19,0.135,0.164,0.129,0.123,0.151
2/1/19,0.136,0.169,0.128,0.123,0.151
3/1/19,0.135,0.167,0.128,0.123,0.152
4/1/19,0.135,0.167,0.129,0.122,0.152
5/1/19,0.136,0.165,0.131,0.122,0.156
6/1/19,0.139,0.167,0.138,0.125,0.157
7/1/19,0.14,0.164,0.14,0.126,0.158
8/1/19,0.139,0.163,0.14,0.126,0.157
