Month,US,NE,MW,S,W
1/1/12,3.399,3.48,3.376,3.288,3.513
2/1/12,3.572,3.652,3.458,3.493,3.711
3/1/12,3.868,3.828,3.89,3.704,4.101
4/1/12,3.927,3.96,3.909,3.806,4.084
5/1/12,3.792,3.832,3.771,3.556,4.111
6/1/12,3.552,3.579,3.603,3.256,3.896
7/1/12,3.451,3.544,3.506,3.233,3.631
8/1/12,3.707,3.747,3.843,3.511,3.832
9/1/12,3.856,3.923,3.938,3.676,3.986
10/1/12,3.786,3.898,3.677,3.524,4.154
11/1/12,3.488,3.728,3.409,3.242,3.722
12/1/12,3.331,3.565,3.276,3.153,3.455
1/1/13,3.351,3.544,3.247,3.246,3.439
2/1/13,3.693,3.767,3.696,3.545,3.848
3/1/13,3.735,3.756,3.729,3.589,3.933
4/1/13,3.59,3.598,3.626,3.411,3.801
5/1/13,3.623,3.562,3.848,3.373,3.833
6/1/13,3.633,3.577,3.84,3.37,3.863
7/1/13,3.628,3.67,3.623,3.427,3.875
8/1/13,3.6,3.702,3.606,3.406,3.78
9/1/13,3.556,3.652,3.575,3.327,3.777
10/1/13,3.375,3.446,3.34,3.205,3.578
11/1/13,3.251,3.377,3.197,3.108,3.414
12/1/13,3.277,3.481,3.167,3.152,3.385
1/1/14,3.32,3.499,3.286,3.174,3.42
2/1/14,3.364,3.507,3.362,3.203,3.49
3/1/14,3.532,3.604,3.624,3.327,3.714
4/1/14,3.659,3.659,3.695,3.506,3.878
5/1/14,3.691,3.744,3.686,3.508,3.931
6/1/14,3.695,3.736,3.784,3.478,3.913
7/1/14,3.633,3.725,3.59,3.436,3.902
8/1/14,3.481,3.559,3.457,3.268,3.767
9/1/14,3.403,3.461,3.434,3.19,3.655
10/1/14,3.182,3.282,3.166,3.011,3.352
11/1/14,2.887,2.989,2.89,2.727,3.028
12/1/14,2.56,2.749,2.471,2.422,2.671
1/1/15,2.11,2.293,1.964,1.998,2.243
2/1/15,2.249,2.278,2.243,2.102,2.457
3/1/15,2.483,2.451,2.418,2.26,2.917
4/1/15,2.485,2.464,2.443,2.286,2.849
5/1/15,2.775,2.712,2.655,2.484,3.346
6/1/15,2.832,2.781,2.824,2.589,3.236
7/1/15,2.832,2.765,2.759,2.521,3.403
8/1/15,2.679,2.577,2.723,2.328,3.236
9/1/15,2.394,2.347,2.39,2.087,2.882
10/1/15,2.289,2.218,2.392,2.024,2.638
11/1/15,2.185,2.202,2.166,1.964,2.504
12/1/15,2.06,2.129,1.914,1.849,2.437
1/1/16,1.967,1.997,1.797,1.727,2.432
2/1/16,1.767,1.842,1.591,1.578,2.133
3/1/16,1.958,1.897,1.935,1.777,2.282
4/1/16,2.134,2.144,2.097,1.922,2.461
5/1/16,2.264,2.299,2.261,2.073,2.526
6/1/16,2.363,2.35,2.453,2.162,2.603
7/1/16,2.225,2.251,2.192,2.02,2.571
8/1/16,2.155,2.157,2.192,1.964,2.434
9/1/16,2.208,2.197,2.207,2.031,2.508
10/1/16,2.243,2.239,2.202,2.092,2.54
11/1/16,2.187,2.288,2.064,2.019,2.494
12/1/16,2.23,2.34,2.199,2.081,2.415
1/1/17,2.351,2.469,2.33,2.188,2.543
2/1/17,2.299,2.402,2.223,2.116,2.588
3/1/17,2.323,2.358,2.268,2.116,2.683
4/1/17,2.418,2.462,2.387,2.229,2.718
5/1/17,2.386,2.462,2.313,2.174,2.738
6/1/17,2.337,2.399,2.258,2.117,2.71
7/1/17,2.281,2.363,2.234,2.051,2.623
8/1/17,2.374,2.445,2.336,2.166,2.686
9/1/17,2.63,2.755,2.472,2.516,2.858
10/1/17,2.484,2.599,2.404,2.307,2.759
11/1/17,2.548,2.619,2.586,2.305,2.848
12/1/17,2.459,2.573,2.418,2.239,2.77
1/1/18,2.539,2.626,2.548,2.326,2.818
2/1/18,2.575,2.663,2.482,2.38,2.919
3/1/18,2.572,2.608,2.507,2.35,2.973
4/1/18,2.737,2.764,2.652,2.505,3.181
5/1/18,2.907,2.94,2.85,2.642,3.343
6/1/18,2.914,2.94,2.841,2.651,3.363
7/1/18,2.873,2.908,2.823,2.607,3.301
8/1/18,2.862,2.912,2.805,2.615,3.262
9/1/18,2.873,2.915,2.818,2.612,3.295
10/1/18,2.887,2.88,2.758,2.645,3.394
11/1/18,2.671,2.697,2.467,2.394,3.3
12/1/18,2.414,2.513,2.174,2.079,3.08
1/1/19,2.289,2.356,2.055,2.001,2.896
2/1/19,2.353,2.377,2.264,2.09,2.832
3/1/19,2.564,2.546,2.535,2.354,2.939
4/1/19,2.835,2.763,2.771,2.564,3.373
5/1/19,2.901,2.88,2.813,2.558,3.563
6/1/19,2.752,2.729,2.696,2.395,3.405
7/1/19,2.776,2.767,2.768,2.48,3.279
8/1/19,2.655,2.672,2.639,2.337,3.182
9/1/19,2.63,2.595,2.59,2.309,3.222
10/1/19,2.673,2.58,2.552,2.31,3.458
11/1/19,2.62,2.582,2.455,2.288,3.434
12/1/19,2.587,2.572,2.472,2.298,3.234
1/1/20,2.567,2.593,2.454,2.312,3.126
2/1/20,2.465,2.488,2.348,2.182,3.079
3/1/20,2.267,2.316,2.071,2.014,2.91
4/1/20,1.876,2.03,1.568,1.664,2.49
5/1/20,1.879,1.994,1.786,1.624,2.37
6/1/20,2.076,2.117,2.036,1.826,2.575
7/1/20,2.176,2.187,2.117,1.939,2.693
8/1/20,2.177,2.186,2.098,1.926,2.744
9/1/20,2.193,2.214,2.071,1.962,2.756
10/1/20,2.159,2.183,2.048,1.925,2.709
11/1/20,2.09,2.152,1.958,1.86,2.659
12/1/20,2.168,2.241,2.061,1.957,2.664
1/1/21,2.326,2.406,2.242,2.126,2.768
2/1/21,2.496,2.577,2.445,2.287,2.916
3/1/21,2.791,2.812,2.697,2.592,3.287
4/1/21,2.839,2.81,2.774,2.612,3.403
5/1/21,2.972,2.944,2.873,2.729,3.589
6/1/21,3.154,3.089,3.025,2.835,3.833
