Month,US,NE,MW,S,W
2013-01-01,-1.4121800529567272,1.8390804597701038,-3.821090047393378,-1.277372262773717,-2.106461713635078
2013-02-01,3.387458006718925,3.1489594742606855,6.882591093117409,1.4886916690523788,3.6917272972244675
2013-03-01,-3.4384694932781916,-1.8808777429467098,-4.138817480719807,-3.104751619870404,-4.096561814191654
2013-04-01,-8.58161446396741,-9.141414141414133,-7.239703248912751,-10.378349973725696,-6.929480901077363
2013-05-01,-4.45675105485231,-7.045929018789145,2.0418987006099165,-5.146231721034866,-6.762344928241314
2013-06-01,2.2804054054054044,-0.05588153115394747,6.577851790174845,3.5012285012284976,-0.8470225872690031
2013-07-01,5.1289481309765295,3.55530474040633,3.337136337706788,6.000618620476336,6.719911870008255
2013-08-01,-2.8864310763420495,-1.20096076861489,-6.167056986729109,-2.990600968385075,-1.3569937369519847
2013-09-01,-7.780082987551873,-6.907978587815457,-9.217877094972067,-9.494015233949952,-5.243351731058718
2013-10-01,-10.855784469096672,-11.595690097485889,-9.16508022844711,-9.052213393870588,-13.866153105440532
2013-11-01,-6.794724770642192,-9.415236051502157,-6.218832502200051,-4.133251079580503,-8.27512090274047
2013-12-01,-1.6211347943560706,-2.3562412342215886,-3.3272283272283403,-0.03171582619728303,-2.0260492040521068
2014-01-01,-0.9250969859743533,-1.2697516930022554,1.2011087157376084,-2.2181146025878156,-0.5524861878452947
2014-02-01,-8.908746276739784,-6.9020440668967415,-9.036796536796539,-9.647390691114236,-9.303534303534306
2014-03-01,-5.435073627844708,-4.046858359957416,-2.815768302493966,-7.300083588743384,-5.56826849733029
2014-04-01,1.9220055710306394,1.6953863257365063,1.9029233314947462,2.7851070067428965,2.025782688766113
2014-05-01,1.8768975986751326,5.109489051094889,-4.209979209979207,4.002371775867173,2.5567440647012747
2014-06-01,1.7065785851912973,4.445065697511889,-1.4583333333333348,3.2047477744807153,1.2943308309604005
2014-07-01,0.13781697905181625,1.4986376021798409,-0.9108473640629413,0.2626203676685247,0.6967741935483791
2014-08-01,-3.305555555555549,-3.862776877363594,-4.132002218524693,-4.051673517322369,-0.34391534391534134
2014-09-01,-4.302587176602925,-5.230010952902503,-3.9440559440559566,-4.117823865344154,-3.230076780513633
2014-10-01,-5.71851851851852,-4.759141033081838,-5.209580838323339,-6.053042121684866,-6.31637786472891
2014-11-01,-11.196554906182723,-11.489487710986081,-9.602752580544257,-12.258687258687265,-11.306385471587573
2014-12-01,-21.87976808056148,-21.028440103418575,-21.976634038522253,-23.159898477157363,-21.093057607090092
2015-01-01,-36.44578313253012,-34.46699056873391,-40.23128423615338,-37.05103969754253,-34.41520467836256
