Month,US,NE,MW,S,W
1/1/12,0.929,1.153,1.03,1.066,0.698
2/1/12,0.852,1.127,0.923,1.027,0.611
3/1/12,0.85,1.097,0.89,1.027,0.638
4/1/12,0.91,1.167,1,1.035,0.688
5/1/12,0.968,1.264,0.953,1.047,0.782
6/1/12,1.032,1.268,1.066,1.083,0.845
7/1/12,1.127,1.439,1.106,1.213,0.906
8/1/12,1.283,1.585,1.321,1.394,1.024
9/1/12,1.296,1.592,1.287,1.318,1.117
10/1/12,1.254,1.458,1.316,1.24,1.111
11/1/12,1.102,1.352,1.237,1.181,0.819
12/1/12,1.035,1.257,1.139,1.159,0.778
1/1/13,0.991,1.208,1.056,1.052,0.786
2/1/13,0.998,1.205,1.007,1.033,0.844
3/1/13,0.988,1.245,1.062,1.005,0.779
4/1/13,0.981,1.173,1.034,1.006,0.813
5/1/13,1.048,1.305,1.073,1.082,0.88
6/1/13,1.147,1.421,1.143,1.162,1.018
7/1/13,1.287,1.421,1.143,1.257,1.191
8/1/13,1.377,1.652,1.408,1.4,1.235
9/1/13,1.334,1.564,1.384,1.4,1.178
10/1/13,1.328,1.564,1.402,1.385,1.178
11/1/13,1.201,1.451,1.282,1.222,1.022
12/1/13,1.129,1.36,1.165,1.196,0.968
1/1/14,1.118,1.283,1.168,1.135,1
2/1/14,1.146,1.347,1.162,1.212,1.004
3/1/14,1.212,1.376,1.234,1.229,1.113
4/1/14,1.261,1.296,1.306,1.202,1.253
5/1/14,1.342,1.382,1.336,1.236,1.395
6/1/14,1.299,1.363,1.282,1.216,1.334
7/1/14,1.39,1.508,1.293,1.308,1.449
8/1/14,1.467,1.553,1.391,1.354,1.546
9/1/14,1.486,1.529,1.456,1.45,1.511
10/1/14,1.508,1.509,1.484,1.438,1.57
11/1/14,1.352,1.435,1.393,1.288,1.315
12/1/14,1.246,1.352,1.239,1.223,1.197
1/1/15,1.195,1.259,1.172,1.26,1.122
2/1/15,1.185,1.266,1.211,1.137,1.159
3/1/15,1.201,1.279,1.174,1.195,1.182
4/1/15,1.165,1.333,1.165,1.103,1.123
5/1/15,1.208,1.344,1.234,1.126,1.178
6/1/15,1.274,1.439,1.221,1.251,1.245
7/1/15,1.38,1.48,1.347,1.369,1.361
8/1/15,1.493,1.552,1.44,1.465,1.526
9/1/15,1.48,1.595,1.412,1.443,1.502
10/1/15,1.514,1.63,1.547,1.427,1.502
11/1/15,1.329,1.548,1.348,1.281,1.235
12/1/15,1.229,1.421,1.215,1.174,1.18
1/1/16,1.196,1.453,1.175,1.09,1.156
2/1/16,1.194,1.398,1.069,1.189,1.184
3/1/16,1.188,1.38,1.09,1.156,1.183
4/1/16,1.176,1.358,1.127,1.108,1.168
5/1/16,1.148,1.221,1.142,1.098,1.153
6/1/16,1.186,1.272,1.142,1.13,1.219
7/1/16,1.268,1.428,1.218,1.203,1.27
8/1/16,1.365,1.468,1.349,1.322,1.35
9/1/16,1.41,1.491,1.357,1.431,1.383
10/1/16,1.412,1.525,1.37,1.404,1.384
11/1/16,1.239,1.36,1.219,1.251,1.162
12/1/16,1.169,1.275,1.114,1.184,1.128
1/1/17,1.186,1.35,1.126,1.154,1.154
2/1/17,1.191,1.34,1.13,1.148,1.181
3/1/17,1.18,1.302,1.139,1.167,1.14
4/1/17,1.174,1.308,1.122,1.146,1.149
5/1/17,1.226,1.393,1.172,1.188,1.183
6/1/17,1.346,1.45,1.37,1.288,1.316
7/1/17,1.462,1.557,1.402,1.421,1.487
8/1/17,1.453,1.545,1.421,1.371,1.509
9/1/17,1.48,1.605,1.451,1.37,1.541
10/1/17,1.59,1.727,1.508,1.37,1.642
11/1/17,1.486,1.646,1.452,1.495,1.364
12/1/17,1.315,1.48,1.346,1.272,1.199
1/1/18,1.326,1.466,1.395,1.275,1.232
2/1/18,1.339,1.5,1.394,1.258,1.278
3/1/18,1.305,1.456,1.38,1.247,1.214
4/1/18,1.291,1.401,1.354,1.211,1.263
5/1/18,1.348,1.462,1.378,1.265,1.348
6/1/18,1.409,1.468,1.438,1.354,1.417
7/1/18,1.538,1.769,1.438,1.415,1.554
8/1/18,1.559,1.785,1.554,1.456,1.541
9/1/18,1.511,1.787,1.504,1.423,1.441
10/1/18,1.502,1.684,1.47,1.435,1.485
11/1/18,1.437,1.628,1.399,1.405,1.371
12/1/18,1.389,1.616,1.415,1.295,1.335
1/1/19,1.344,1.59,1.32,1.287,1.266
2/1/19,1.298,1.503,1.329,1.254,1.188
3/1/19,1.346,1.531,1.346,1.262,1.329
4/1/19,1.28,1.448,1.255,1.205,1.283
5/1/19,1.331,1.563,1.27,1.245,1.329
6/1/19,1.296,1.554,1.259,1.191,1.28
7/1/19,1.411,1.561,1.33,1.384,1.401
8/1/19,1.442,1.642,1.383,1.405,1.401
9/1/19,1.426,1.744,1.379,1.331,1.383
10/1/19,1.47,1.786,1.53,1.341,1.397
11/1/19,1.429,1.618,1.435,1.402,1.348
12/1/19,1.327,1.434,1.3,1.327,1.283
1/1/20,1.244,1.33,1.24,1.241,1.202
2/1/20,1.218,1.226,1.269,1.219,1.178
3/1/20,1.174,1.226,1.157,1.175,1.152
4/1/20,1.174,1.226,1.157,1.175,1.249
5/1/20,1.209,1.226,1.159,1.175,1.318
6/1/20,1.296,1.226,1.17,1.175,1.396
7/1/20,1.296,1.226,1.3,1.175,1.496
8/1/20,1.296,1.226,1.3,1.175,1.532
9/1/20,1.296,1.226,1.393,1.175,1.552
10/1/20,1.296,1.226,1.38,1.175,1.558
11/1/20,1.296,1.226,1.38,1.175,1.486
12/1/20,1.329,1.226,1.249,1.175,1.39
1/1/21,1.303,1.226,1.245,1.175,1.359
2/1/21,1.321,1.226,1.294,1.175,1.34
3/1/21,1.266,1.226,1.246,1.175,1.256
4/1/21,1.32,1.226,1.236,1.175,1.384
5/1/21,1.317,1.226,1.241,1.233,1.425
6/1/21,1.354,1.226,1.27,1.233,1.439
7/1/21,1.354,1.226,1.27,1.233,1.439
8/1/21,1.354,1.226,1.408,1.233,1.439
9/1/21,1.354,1.226,1.376,1.233,1.529
10/1/21,1.49,1.226,1.372,1.233,1.635
11/1/21,1.44,1.226,1.385,1.233,1.459
12/1/21,1.448,1.226,1.317,1.507,1.461
1/1/22,1.427,1.226,1.383,1.507,1.438
2/1/22,1.445,1.226,1.352,1.463,1.471
3/1/22,1.48,1.226,1.355,1.536,1.484
4/1/22,1.505,1.226,1.357,1.453,1.623
5/1/22,1.546,1.226,1.414,1.506,1.653
6/1/22,1.6,1.226,1.437,1.664,1.658
7/1/22,1.6,1.226,1.437,1.664,1.658
8/1/22,1.703,1.226,1.625,1.678,1.816
9/1/22,1.73,1.226,1.657,1.725,1.812
